rank,client_hash_id,content_hash_id,model_score,action,reason_code,confidence,impressions,clicks,avg_position,ctr
1,client_b10cb2997d0c7c86,content_87eb4619444da89f,0.8330231366530159,refresh_priority,weak_position|low_ctr,high,646.0,0.0,28.09955374499428,0.0
2,client_810019792c9b8efc,content_826a6d837682df3c,0.8330198620504368,refresh_priority,weak_position|low_ctr,high,498.0,0.0,10.84575837470445,0.0
3,client_9958f0a7ae1df715,content_572263a160b6c8ab,0.8308881304819041,refresh_priority,weak_position|low_ctr,high,510.0,0.0,26.276403613051706,0.0
4,client_73cda7b4e4f265ea,content_1f10cce14fa14a4c,0.8304845867100895,refresh_priority,low_ctr,high,338.0,0.0,9.095339595518624,0.0
5,client_9958f0a7ae1df715,content_d8288f22519f7d53,0.8302588359476876,refresh_priority,weak_position|low_ctr,high,633.0,0.0,38.06302330480206,0.0
6,client_b10cb2997d0c7c86,content_5d2c0a2568ca0bac,0.8285946196590768,refresh_priority,low_ctr,high,1315.0,0.0,8.921162710203323,0.0
7,client_73cda7b4e4f265ea,content_ebe1f0da038a3a54,0.8267206882376908,refresh_priority,weak_position|low_ctr,high,2283.0,2.0,15.898635591507569,0.0008760402978537
8,client_b10cb2997d0c7c86,content_8b1d28df3ed4e324,0.8254584788699653,refresh_priority,weak_position|low_ctr,high,1176.0,1.0,38.87825071497889,0.0008503401360544
9,client_23a62021009f63c4,content_11a15d9c9ff6f9ea,0.824141225137086,refresh_priority,weak_position|low_ctr,high,651.0,0.0,30.98488735150614,0.0
10,client_fef1a8f436438636,content_3aba7dc3b43d583f,0.8238723468012562,refresh_priority,weak_position|low_ctr,high,926.0,0.0,21.630944504373367,0.0
11,client_1a730cb2640a1abf,content_13e61e95a7247552,0.8235375296349727,refresh_priority,low_ctr,high,1672.0,0.0,8.835899579068093,0.0
12,client_73cda7b4e4f265ea,content_bb34f0b8a742bf5a,0.8228863073888203,refresh_priority,low_ctr,high,209.0,0.0,4.8965880387242615,0.0
13,client_b10cb2997d0c7c86,content_c3643147154c071c,0.8226988746180557,refresh_priority,low_ctr,high,326.0,0.0,6.720791181041181,0.0
14,client_9958f0a7ae1df715,content_5147a94966f9a69b,0.8226823532066155,refresh_priority,weak_position|low_ctr,high,221.0,0.0,14.709917027417028,0.0
15,client_9958f0a7ae1df715,content_ffadc4cfd8604d34,0.82219184822443,refresh_priority,weak_position|low_ctr,high,518.0,1.0,27.583114605921608,0.0019305019305019
16,client_73cda7b4e4f265ea,content_4477e3b2cc48b5ec,0.8219434247251461,refresh_priority,low_ctr,high,2386.0,2.0,9.11128903128556,0.0008382229673093
17,client_9958f0a7ae1df715,content_5a77dbf5671c5a65,0.8215295468834329,refresh_priority,weak_position|low_ctr,high,2363.0,3.0,11.96702725888876,0.0012695725772323
18,client_b10cb2997d0c7c86,content_999da21a3d5a0416,0.8213698432868117,refresh_priority,low_ctr,high,876.0,1.0,9.602313188273545,0.0011415525114155
19,client_73cda7b4e4f265ea,content_25d32677a09e9a99,0.8212414169431448,refresh_priority,weak_position|low_ctr,high,866.0,1.0,21.15388836684072,0.0011547344110854
20,client_a80fca3f171ed1de,content_9d24477871d20f32,0.8209200194767046,refresh_priority,weak_position|low_ctr,high,2381.0,3.0,11.897597820464396,0.0012599748005039
21,client_73cda7b4e4f265ea,content_59ee023983dfde49,0.8208231699411208,refresh_priority,weak_position|low_ctr,high,623.0,0.0,26.939108464725127,0.0
22,client_73cda7b4e4f265ea,content_f6a6b63ad4777961,0.8206497136753035,refresh_priority,weak_position|low_ctr,high,621.0,0.0,39.93210226013475,0.0
23,client_73cda7b4e4f265ea,content_151ecef625bbc703,0.8205214553990122,refresh_priority,weak_position|low_ctr,high,1887.0,4.0,32.72775147455299,0.0021197668256491
24,client_23a62021009f63c4,content_8fd63a212197c5ac,0.8203934475504916,refresh_priority,weak_position|low_ctr,high,658.0,1.0,43.18858502829939,0.0015197568389057
25,client_b10cb2997d0c7c86,content_e7f0b8bdc0ace93a,0.8200659802377025,refresh_priority,low_ctr,high,1137.0,1.0,9.176559591799895,0.0008795074758135
26,client_9958f0a7ae1df715,content_d02be57d816cf3d7,0.819138165301459,refresh_priority,weak_position|low_ctr,high,298.0,0.0,20.44008192883193,0.0
27,client_a80fca3f171ed1de,content_25d2f74fed64edbe,0.8190877141841524,refresh_priority,weak_position|low_ctr,high,310.0,0.0,56.33290731171234,0.0
28,client_9958f0a7ae1df715,content_2538b331a2f547ab,0.8190646992369082,refresh_priority,weak_position|low_ctr,high,1859.0,2.0,15.062218156676671,0.0010758472296933
29,client_b10cb2997d0c7c86,content_113a083e4ba24ea9,0.8187553676969654,refresh_priority,weak_position|low_ctr,high,321.0,0.0,33.750561606149844,0.0
30,client_9958f0a7ae1df715,content_0580c47071cde7b7,0.8186284828156608,refresh_priority,weak_position|low_ctr,high,866.0,0.0,16.859368656326,0.0
31,client_73cda7b4e4f265ea,content_ee658b5954e5244b,0.8185503840232012,refresh_priority,weak_position|low_ctr,high,436.0,0.0,11.073990059882036,0.0
32,client_23a62021009f63c4,content_d409c54a8ae8b0ab,0.8182093967875702,refresh_priority,weak_position|low_ctr,high,3478.0,4.0,35.234962647489574,0.0011500862564692
33,client_b10cb2997d0c7c86,content_3c1670b481729fda,0.818178466102809,refresh_priority,weak_position|low_ctr,high,327.0,0.0,10.023576088943738,0.0
34,client_73cda7b4e4f265ea,content_fe05118fdb9b59d3,0.8179152847407102,refresh_priority,weak_position|low_ctr,high,231.0,0.0,47.14247017364334,0.0
35,client_810019792c9b8efc,content_6d3eb2ba715895b3,0.8174089517389944,refresh_priority,weak_position|low_ctr,high,2634.0,4.0,33.502438189665426,0.0015186028853454
